2026-05-19 11:54:45 - __main__ - INFO - Starting packet capture on interface 'any'
2026-05-19 11:54:45 - __main__ - INFO - BPF filter: tcp port 5050
2026-05-19 11:54:49 - app.model_prediction - INFO - Model loaded successfully: /app/models/random_forest_min-max_scaling_model.pkl
2026-05-19 11:54:49 - app.model_prediction - INFO - Scaler loaded successfully: /app/models/random_forest_min-max_scaling_scaler.pkl
2026-05-19 11:54:49 - __main__ - INFO - Detection system initialized successfully
2026-05-19 11:54:50 - __main__ - INFO - Capture started. Waiting for packets...
2026-05-19 11:54:50 - __main__ - INFO - Press Ctrl+C to stop
2026-05-19 11:56:17 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 82.46%, Threshold: 65.00%)
2026-05-19 11:56:18 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 86.02%, Threshold: 65.00%)
2026-05-19 11:56:18 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 85.33%, Threshold: 65.00%)
2026-05-19 11:56:18 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 83.85%, Threshold: 65.00%)
2026-05-19 11:56:18 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 81.18%, Threshold: 65.00%)
2026-05-19 11:56:18 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 83.79%, Threshold: 65.00%)
2026-05-19 11:56:19 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 78.97%, Threshold: 65.00%)
2026-05-19 11:56:19 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 80.37%, Threshold: 65.00%)
2026-05-19 11:56:20 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 76.39%, Threshold: 65.00%)
2026-05-19 11:56:20 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 76.41%, Threshold: 65.00%)
2026-05-19 11:56:20 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 76.16%, Threshold: 65.00%)
2026-05-19 11:56:20 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 75.97%, Threshold: 65.00%)
2026-05-19 11:56:21 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 76.90%, Threshold: 65.00%)
2026-05-19 11:56:21 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 77.47%, Threshold: 65.00%)
2026-05-19 11:56:22 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 80.81%, Threshold: 65.00%)
2026-05-19 11:56:22 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 77.87%, Threshold: 65.00%)
2026-05-19 11:56:22 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 78.45%, Threshold: 65.00%)
2026-05-19 11:56:22 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 76.61%, Threshold: 65.00%)
2026-05-19 11:56:24 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 79.89%, Threshold: 65.00%)
2026-05-19 11:56:25 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 80.43%, Threshold: 65.00%)
2026-05-19 11:56:26 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 83.63%, Threshold: 65.00%)
2026-05-19 11:56:26 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 82.57%, Threshold: 65.00%)
2026-05-19 11:56:26 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 85.22%, Threshold: 65.00%)
2026-05-19 11:56:27 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 80.10%, Threshold: 65.00%)
2026-05-19 11:56:27 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 78.95%, Threshold: 65.00%)
2026-05-19 11:56:28 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 76.58%, Threshold: 65.00%)
2026-05-19 11:56:28 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 76.05%, Threshold: 65.00%)
2026-05-19 11:56:29 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 77.57%, Threshold: 65.00%)
2026-05-19 11:56:29 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 76.36%, Threshold: 65.00%)
2026-05-19 11:56:29 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 74.95%, Threshold: 65.00%)
2026-05-19 11:56:30 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 82.79%, Threshold: 65.00%)
2026-05-19 11:56:30 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 80.19%, Threshold: 65.00%)
2026-05-19 11:56:30 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 82.48%, Threshold: 65.00%)
2026-05-19 11:56:30 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 80.18%, Threshold: 65.00%)
2026-05-19 11:56:30 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 81.72%, Threshold: 65.00%)
2026-05-19 11:56:31 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 78.92%, Threshold: 65.00%)
2026-05-19 11:56:32 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 76.49%, Threshold: 65.00%)
2026-05-19 11:56:33 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 81.68%, Threshold: 65.00%)
2026-05-19 11:56:33 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 82.56%, Threshold: 65.00%)
2026-05-19 11:56:34 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 83.43%, Threshold: 65.00%)
2026-05-19 11:56:34 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 82.63%, Threshold: 65.00%)
2026-05-19 11:56:34 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 85.51%, Threshold: 65.00%)
